id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2022-05-01;5531.15854167
NE;Nordeste;2022-05-01;9762.44345833
S;Sul;2022-05-01;8794.16312500
SE;Sudeste/Centro-Oeste;2022-05-01;35284.31687500
N;Norte;2022-05-02;5958.91866667
NE;Nordeste;2022-05-02;11243.95633333
S;Sul;2022-05-02;11643.82154167
SE;Sudeste/Centro-Oeste;2022-05-02;41868.09850000
N;Norte;2022-05-03;6088.37479167
NE;Nordeste;2022-05-03;11551.35820833
S;Sul;2022-05-03;11941.66258333
SE;Sudeste/Centro-Oeste;2022-05-03;43297.15395833
N;Norte;2022-05-04;5963.19179167
NE;Nordeste;2022-05-04;11607.07866667
S;Sul;2022-05-04;11643.86191667
SE;Sudeste/Centro-Oeste;2022-05-04;42582.21333333
N;Norte;2022-05-05;6227.76350000
NE;Nordeste;2022-05-05;11509.29916667
S;Sul;2022-05-05;11442.40841667
SE;Sudeste/Centro-Oeste;2022-05-05;40708.18866667
N;Norte;2022-05-06;6106.22150000
NE;Nordeste;2022-05-06;11153.84870833
S;Sul;2022-05-06;11156.52100000
SE;Sudeste/Centro-Oeste;2022-05-06;40391.02225000
N;Norte;2022-05-07;5900.54070833
NE;Nordeste;2022-05-07;10527.06400000
S;Sul;2022-05-07;9333.92008333
SE;Sudeste/Centro-Oeste;2022-05-07;37142.01762500
N;Norte;2022-05-08;5497.33675000
NE;Nordeste;2022-05-08;9934.65537500
S;Sul;2022-05-08;7742.39450000
SE;Sudeste/Centro-Oeste;2022-05-08;33561.95158333
N;Norte;2022-05-09;6035.17216667
NE;Nordeste;2022-05-09;11278.56262500
S;Sul;2022-05-09;10808.54866667
SE;Sudeste/Centro-Oeste;2022-05-09;39179.48766667
N;Norte;2022-05-10;6334.98850000
NE;Nordeste;2022-05-10;11467.65579167
S;Sul;2022-05-10;11654.62308112
SE;Sudeste/Centro-Oeste;2022-05-10;40062.77775000
N;Norte;2022-05-11;6452.41641667
NE;Nordeste;2022-05-11;11471.76829167
S;Sul;2022-05-11;11608.52466322
SE;Sudeste/Centro-Oeste;2022-05-11;40756.55641667
N;Norte;2022-05-12;6339.29083333
NE;Nordeste;2022-05-12;11510.40320833
S;Sul;2022-05-12;11361.00188129
SE;Sudeste/Centro-Oeste;2022-05-12;40403.78254167
N;Norte;2022-05-13;6236.04966667
NE;Nordeste;2022-05-13;11507.41587500
S;Sul;2022-05-13;11305.70706206
SE;Sudeste/Centro-Oeste;2022-05-13;40230.24954167
N;Norte;2022-05-14;6009.98316667
NE;Nordeste;2022-05-14;10989.93612500
S;Sul;2022-05-14;10060.54978729
SE;Sudeste/Centro-Oeste;2022-05-14;37569.43204167
N;Norte;2022-05-15;5688.13537500
NE;Nordeste;2022-05-15;10332.90129167
S;Sul;2022-05-15;8994.85674774
SE;Sudeste/Centro-Oeste;2022-05-15;35421.00504167
N;Norte;2022-05-16;6167.60862500
NE;Nordeste;2022-05-16;11514.87391667
S;Sul;2022-05-16;11424.08754167
SE;Sudeste/Centro-Oeste;2022-05-16;39989.34866667
N;Norte;2022-05-17;6332.96000000
NE;Nordeste;2022-05-17;11950.91683333
S;Sul;2022-05-17;11964.90937500
SE;Sudeste/Centro-Oeste;2022-05-17;38884.50716667
N;Norte;2022-05-18;6208.37575000
NE;Nordeste;2022-05-18;12023.38575000
S;Sul;2022-05-18;12269.05137500
SE;Sudeste/Centro-Oeste;2022-05-18;37010.91775000
N;Norte;2022-05-19;5906.07162500
NE;Nordeste;2022-05-19;12037.10725000
S;Sul;2022-05-19;12021.41545833
SE;Sudeste/Centro-Oeste;2022-05-19;36423.83966667
N;Norte;2022-05-20;5929.39625000
NE;Nordeste;2022-05-20;11825.68279167
S;Sul;2022-05-20;11802.52645833
SE;Sudeste/Centro-Oeste;2022-05-20;36564.60670833
N;Norte;2022-05-21;5764.96983333
NE;Nordeste;2022-05-21;10705.27545833
S;Sul;2022-05-21;10256.97037500
SE;Sudeste/Centro-Oeste;2022-05-21;34648.70525000
N;Norte;2022-05-22;5470.04400000
NE;Nordeste;2022-05-22;9917.63804167
S;Sul;2022-05-22;8938.57912500
SE;Sudeste/Centro-Oeste;2022-05-22;31919.51183333
N;Norte;2022-05-23;5921.46504167
NE;Nordeste;2022-05-23;10739.53281250
S;Sul;2022-05-23;11713.10433333
SE;Sudeste/Centro-Oeste;2022-05-23;37129.41312500
N;Norte;2022-05-24;6100.24108333
NE;Nordeste;2022-05-24;11072.62695833
S;Sul;2022-05-24;12054.19504167
SE;Sudeste/Centro-Oeste;2022-05-24;38484.53912500
N;Norte;2022-05-25;6318.66083333
NE;Nordeste;2022-05-25;10808.13775000
S;Sul;2022-05-25;12186.72137500
